lr: 0.0001
epoch=2, accuracy=0.40345281043410935, loss=0.9062195469149479
epoch=3, accuracy=0.6543356659296082, loss=0.5272852933368517
epoch=4, accuracy=0.6048138373554606, loss=0.46578963216837804
epoch=5, accuracy=0.7657348523427039, loss=0.319072719457816
epoch=6, accuracy=0.785812641789043, loss=0.27348440933877566
epoch=7, accuracy=0.784069579310547, loss=0.21550709863963374
epoch=8, accuracy=0.8074008975398872, loss=0.22159663352627645
epoch=9, accuracy=0.7668624709626755, loss=0.22600505606993795
epoch=10, accuracy=0.7526567231162464, loss=0.19609591735604137
epoch=11, accuracy=0.7993993937378097, loss=0.24238027701260606
epoch=12, accuracy=0.7949179163156577, loss=0.21804417095086842
epoch=13, accuracy=0.7903887894808805, loss=0.24260303186644758
epoch=14, accuracy=0.7887199720735281, loss=0.1943591258174359
epoch=15, accuracy=0.7803749445965857, loss=0.17974430951729148
epoch=16, accuracy=0.8191553565561673, loss=0.23389053635635154
epoch=17, accuracy=0.7663923917767967, loss=0.20545199785921836
epoch=18, accuracy=0.8151432093768269, loss=0.22741729486593654
epoch=19, accuracy=0.7940124733329437, loss=0.19211677742692154
epoch=20, accuracy=0.7745520297832835, loss=0.1976501834553537
epoch=21, accuracy=0.8027840848863279, loss=0.18372511294497862
epoch=22, accuracy=0.7990185222465584, loss=0.22085866581726213
epoch=23, accuracy=0.8054105629070152, loss=0.19752667288238607
epoch=24, accuracy=0.8190992564454573, loss=0.19957090616675346
epoch=25, accuracy=0.8055490061151274, loss=0.216349221981808
epoch=26, accuracy=0.8109097348996819, loss=0.18941982915162975
epoch=27, accuracy=0.7998311995850877, loss=0.21222934471609692
epoch=28, accuracy=0.8009244919504657, loss=0.19625625790837575
epoch=29, accuracy=0.7939830997904922, loss=0.21024233053639185
epoch=30, accuracy=0.804607539943818, loss=0.1788856917195302
epoch=31, accuracy=0.8032551643567454, loss=0.2055331511856862
epoch=32, accuracy=0.8203546115694285, loss=0.19472470667483263
epoch=33, accuracy=0.8060813141341394, loss=0.1872846196512588
epoch=34, accuracy=0.8182709535024737, loss=0.1777266220029902
epoch=35, accuracy=0.8220697765728124, loss=0.1957320058929503
epoch=36, accuracy=0.822800369977845, loss=0.20087775437825586
epoch=37, accuracy=0.819959947261238, loss=0.20130202628921884
epoch=38, accuracy=0.8095124605567532, loss=0.17931471629411908
epoch=39, accuracy=0.7985868023363856, loss=0.18098485517189758
epoch=40, accuracy=0.8004859819089698, loss=0.191813519908293
epoch=41, accuracy=0.8037371150587886, loss=0.19028512309763818
epoch=42, accuracy=0.8036322486977081, loss=0.19888979407920226
epoch=43, accuracy=0.8007105175584324, loss=0.19983864231767343
epoch=44, accuracy=0.8219094532894735, loss=0.1983390465038482
epoch=45, accuracy=0.808837388324589, loss=0.1977621832386963
epoch=46, accuracy=0.8081227090366885, loss=0.18253941542913013
epoch=47, accuracy=0.817164859849842, loss=0.1790461715396111
epoch=48, accuracy=0.8101139598941454, loss=0.18829610452216056
epoch=49, accuracy=0.806320563683842, loss=0.17861664828580412
epoch=50, accuracy=0.8173352042029824, loss=0.17794028315733654
epoch=51, accuracy=0.8140620863112908, loss=0.1903770082283758
epoch=52, accuracy=0.8175422418531959, loss=0.19351819600081113
epoch=53, accuracy=0.8086912931538781, loss=0.18775829462321977
epoch=54, accuracy=0.8062798950092516, loss=0.18960785014294948
epoch=55, accuracy=0.8198007964379173, loss=0.1900297475315957
epoch=56, accuracy=0.8193054189294002, loss=0.1854192397323203
