lr: 0.001
epoch=2, accuracy=0.2718614129142913, loss=0.7347787713265298
epoch=3, accuracy=0.5453749630500714, loss=0.23212866427770268
epoch=4, accuracy=0.7970895847318161, loss=0.1338052472129056
epoch=5, accuracy=0.9250593830434721, loss=0.2375593032539543
epoch=6, accuracy=0.9210176476082985, loss=0.08876690432409903
epoch=7, accuracy=0.8259303148561964, loss=0.04453512369322205
epoch=8, accuracy=0.8721837396262754, loss=0.07335344631004616
epoch=9, accuracy=0.912347768353675, loss=0.08384045135555879
epoch=10, accuracy=0.9114500950435263, loss=0.13254929419149056
epoch=11, accuracy=0.8928447785240735, loss=0.09687967130434583
epoch=12, accuracy=0.9428771876803399, loss=0.06955813591779245
epoch=13, accuracy=0.8889582010374256, loss=0.07571507454327277
epoch=14, accuracy=0.8985065410724665, loss=0.08793830078429948
epoch=15, accuracy=0.9231808576947221, loss=0.05920134375787232
epoch=16, accuracy=0.9173317281532848, loss=0.07164837832465676
epoch=17, accuracy=0.9564017208355522, loss=0.049576788199024245
epoch=18, accuracy=0.9089637014577607, loss=0.07257538146648265
epoch=19, accuracy=0.9573073058036687, loss=0.08579290258149316
epoch=20, accuracy=0.9444691629018979, loss=0.03990976082034462
epoch=21, accuracy=0.9276356900988166, loss=0.06790138376350528
epoch=22, accuracy=0.9221608080562145, loss=0.06797586809071829
epoch=23, accuracy=0.937273777737377, loss=0.0701636459036982
epoch=24, accuracy=0.9628368847179745, loss=0.07034083775179975
epoch=25, accuracy=0.9517988340921455, loss=0.038802379498757894
epoch=26, accuracy=0.9258104384174787, loss=0.06094706525475076
epoch=27, accuracy=0.9276899716271314, loss=0.03935824115578365
epoch=28, accuracy=0.9633255059379787, loss=0.07035360619482042
epoch=29, accuracy=0.9297174414687263, loss=0.0657124862902464
epoch=30, accuracy=0.9585390930321388, loss=0.060068876803250695
epoch=31, accuracy=0.9474029441349657, loss=0.06262367158742499
epoch=32, accuracy=0.9444205318361675, loss=0.04175586157361008
epoch=33, accuracy=0.9370754942147732, loss=0.051863334743435505
epoch=34, accuracy=0.9372036055490811, loss=0.05050456434304422
epoch=35, accuracy=0.9592159724415953, loss=0.06041794754990981
epoch=36, accuracy=0.942000585963029, loss=0.058197546943733164
epoch=37, accuracy=0.9493800641394786, loss=0.04083010399821733
epoch=38, accuracy=0.9476163966704304, loss=0.05182764934463681
epoch=39, accuracy=0.9539581634518816, loss=0.05145046101174976
epoch=40, accuracy=0.9561807727634998, loss=0.05485728231780279
epoch=41, accuracy=0.9413711042924773, loss=0.03973478391733657
epoch=42, accuracy=0.9603250548694275, loss=0.050540530883866105
epoch=43, accuracy=0.9579217061924463, loss=0.04788357411874159
epoch=44, accuracy=0.9590147930912217, loss=0.03775469747863078
epoch=45, accuracy=0.9421260628491224, loss=0.04389537343152626
epoch=46, accuracy=0.9583393375828692, loss=0.05731596657513227
epoch=47, accuracy=0.9547940139315034, loss=0.038525034250073836
epoch=48, accuracy=0.9483952779467687, loss=0.0496851872154638
epoch=49, accuracy=0.957645705751912, loss=0.04901278994590893
epoch=50, accuracy=0.9521293247583767, loss=0.03916268440992072
epoch=51, accuracy=0.9544336168145313, loss=0.03690590884084813
